Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,Taylor Swift Eras through Folklore Women's Tri-Blend Dolman in 10 Colors,"Colors may appear different on computer screen than on object. Colors may vary slightly.Due to complications with manufacturers as a result of Covid, we are NOT ABLE to offer traditional gift wrapping on the this item or any of the items in the shop category ""Taylor Swift Eras."" **See More Details Below **

This loose fit tee has a distinctly fashionable look. Additionally, unbelievably soft tri-blend fabric makes it extremely comfortable - a must have in every woman's wardrobe.
.: Loose fit
.: 50% Polyester; 25% Soft cotton; 25% Rayon
.: Light fabric (4.3 oz/yd² (146 g/m²))
.: Sewn in label
.: Runs bigger than usual

** What is available if interested in gift wrapping for this item, or others in this category, is a custom, handwritten card with the gift message of your choosing, a waterproof vinyl sticker in the design matching, plus a pack of Taylor Swift related stickers based on songs &amp; lyrics. I try to fulfill requests for songs &amp; lyrics desired in the packs whenever possible. Typically the matching vinyl sticker alone is $4.13 but I wanted to offer an extra special package to thank people for understanding and to make up for the inability to wrap the items in this category prior to mailing them. If you have any questions, or if you would like to request something different to make your gift order special, please do not hesitate to reach out and we can work on the perfect gift plan together. Thank you for shopping small! **We are being told to expect SIGNIFICANT shipping delays going into the holidays. All items in the shop are made to order. In order to ensure that no one is missing presents Christmas morning, I can not guarantee that any orders placed after December 1st will arrive prior to Christmas. While it is possible, more so for some items than others, I wouldn't want anyone to not be informed going into the holidays. If you have any specific questions, please feel free to message me.PLEASE NOTE IN REGARDS TO HOLIDAY ORDERS:  We are being told to expect SIGNIFICANT shipping delays going into the holidays. All items in the shop are made to order. In order to ensure that no one is missing presents Christmas morning, I can not guarantee that any orders placed after December 1st will arrive prior to Christmas. While it is possible, more so for some items than others, I wouldn't want anyone to not be informed going into the holidays. If you have any specific questions, please feel free to message me.",Life Made Magic,"","1989, cardigan, era, evermore, folklore, import_2021_02_11_033502, lover, red, reputation, review-inventory, review-pricing, shirt, swift, swiftie, taylor, Taylor_swift",false,Sizes,S,Colors,Tri-Blend Envy,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2581501390_6vlq.jpg?v=1613015908,1,,false,,,,,,,,,,,,,,,,,lb,,,active
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,S,,Tri-Blend Heather White,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2629163493_2rgy.jpg?v=1613015910,2,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,S,,Tri-Blend Indigo,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2581501510_3axe.jpg?v=1613015912,3,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,S,,Tri-Blend Premium Heather,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2629163593_325g.jpg?v=1613015914,4,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,S,,Tri-Blend Purple Rush,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2629163641_njo6.jpg?v=1613015916,5,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,S,,Tri-Blend Venetian Gray,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2581501712_iywt.jpg?v=1613015919,6,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,S,,Tri-Blend Vintage Black,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2629163783_fman.jpg?v=1613015921,7,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,S,,Tri-Blend Vintage Navy,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2629163839_j2ku.jpg?v=1613015923,8,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,S,,Tri-Blend Vintage Royal,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2629163903_48tu.jpg?v=1613015925,9,,,,,,,,,,,,,,,,,,,lb,,,
taylor-swift-eras-through-folklore-women-s-tri-blend-dolman-in-10-colors,,,,,,,,S,,Tri-Blend Vintage Red,,,"",0.0,shopify,0,deny,manual,34.00,,false,true,,https://cdn.shopify.com/s/files/1/0522/7465/9519/products/il_fullxfull.2581501956_m577.jpg?v=1613015927,10,,,,,,,,,,,,,,,,,,,lb,,,
